Empleado,genero,Experiencia previa,experiencia en la empresa,Nivel educativo,Salario anual
1,1,5,12,3,57700
2,0,12,8,4,76400
3,0,0,2,3,44000
4,1,2,1,3,41600
5,0,5,25,5,163900
6,1,9,10,3,72700
7,1,6,2,4,60300
8,0,11,6,3,63500
9,1,12,16,4,131200
10,0,0,1,3,39200
11,0,5,4,4,62900
12,1,0,8,1,26200
13,0,11,9,3,74500
14,1,5,5,4,64800
15,1,5,4,1,21600
16,0,4,15,4,81900
17,1,10,17,3,115400
18,0,3,6,3,57800
19,1,10,1,3,55800
20,1,11,8,3,76100
21,1,10,15,5,135700
22,0,16,20,3,140400
23,0,0,5,3,55400
24,1,4,1,3,49700
25,0,11,16,4,134800
26,1,20,2,3,76900
27,0,2,12,2,28700
28,0,2,7,3,58800
29,1,0,1,3,43100
30,0,4,13,4,82400
31,1,6,15,3,80100
32,1,0,6,1,27000
33,1,5,5,4,58800
34,0,9,22,3,133100
35,0,1,1,4,53700
36,1,0,1,2,26700
37,0,5,16,3,81300
38,1,3,7,3,55400
39,1,12,14,5,139900
40,0,3,3,2,33200
41,1,11,7,3,75000
42,0,10,21,3,128200
43,1,8,13,3,76800
44,1,1,2,4,54200
45,0,0,5,2,32600
46,0,6,6,4,59200
47,1,7,12,3,74800
48,0,0,3,3,45500
49,1,8,5,3,46500
50,0,13,13,4,136300
51,0,7,18,3,86900
52,1,0,1,1,23900
53,1,5,1,4,52700
54,1,12,13,3,92700
55,1,6,7,3,59500
56,0,6,3,4,69400
57,1,3,1,4,46600
58,0,3,8,3,61700
59,0,11,9,3,88200
60,1,0,4,4,45000
61,1,10,5,1,52200
62,0,5,1,4,61400
63,1,5,19,3,87500
64,1,7,23,3,103700
65,1,5,6,3,54000
66,0,11,23,3,125100
67,1,5,11,2,45900
68,0,10,2,4,79300
69,1,20,5,4,108600
70,1,0,13,4,68200
71,0,0,21,2,65200
72,1,12,14,3,95600
73,1,16,12,3,103100
74,1,20,23,3,143500
75,0,11,5,3,78200
76,1,3,3,3,40200
77,1,8,5,3,60500
78,1,0,7,3,40500
79,1,10,8,3,73800
80,1,4,4,3,45300
81,0,9,1,3,61400
82,1,4,7,4,64800
83,1,11,3,4,75600
84,0,1,19,4,95800
85,0,11,4,5,126700
86,0,10,2,3,67000
87,1,16,12,3,102600
88,0,4,3,3,52000
89,1,9,10,3,76000
90,1,0,3,5,83000
91,1,8,13,3,80800
92,1,10,10,4,91100
93,0,3,1,1,30100
94,1,5,7,3,55700
95,1,0,11,3,51400
96,0,3,1,3,43800
97,1,0,1,3,25000
98,0,10,15,2,80600
99,1,8,5,2,39600
100,0,0,1,2,13400
101,1,6,18,3,88200
102,0,9,15,4,109100
103,1,3,1,3,34200
104,1,4,9,3,57800
105,0,6,7,3,68100
106,0,6,13,4,94900
107,1,5,5,4,63200
108,1,6,16,3,82700
109,0,7,8,4,85600
110,1,2,7,2,27100
111,0,10,3,3,69800
112,0,13,4,3,81300
113,0,11,5,3,78400
114,0,20,9,4,127300
115,0,0,24,3,93700
116,0,5,6,4,74400
117,0,3,3,3,48300
118,1,10,13,4,98900
119,0,0,16,3,73300
120,1,11,19,4,117300
121,1,5,5,1,37800
122,1,6,14,3,77400
123,1,11,1,5,111200
124,0,11,4,3,75300
125,0,7,17,3,96900
126,0,10,19,4,123600
127,0,6,2,3,55200
128,1,0,1,1,12400
129,1,4,15,3,73900
130,1,20,4,3,94100
131,1,10,8,3,74300
132,1,11,4,3,66900
133,1,0,4,2,12500
134,0,0,18,4,90200
135,1,5,8,3,59000
136,1,10,19,4,114700
137,0,7,15,2,71700
138,0,20,18,1,125500
139,1,11,17,3,100200
140,1,0,4,4,45400
141,0,10,4,3,72200
142,1,5,12,3,69500
143,0,11,1,3,67900
144,0,2,7,4,67500
145,1,2,1,3,31800
146,1,0,10,2,27800
147,1,5,4,4,60200
148,1,2,2,3,34500
149,1,7,12,4,87000
150,1,0,4,2,12500
151,0,0,15,5,122700
152,1,5,7,3,56200
153,0,10,6,2,56900
154,1,4,12,3,66000
155,0,11,4,3,76000
156,1,0,16,2,44100
157,0,0,18,3,78500
158,1,5,13,3,71800
159,1,9,7,4,80700
160,1,2,15,2,47800
161,0,13,13,3,105000
162,0,6,15,4,100700
163,1,2,1,1,18300
164,0,12,12,4,110600
165,0,0,2,3,36800
166,1,0,4,4,45500
167,1,0,14,4,71400
168,1,5,14,3,74300
169,0,16,11,5,160600
170,1,0,7,4,52500
171,0,5,7,3,65000
172,0,12,14,3,104500
173,1,5,18,3,85000
174,1,3,10,5,110200
175,0,10,7,3,80100
176,1,3,3,3,40000
177,1,10,1,3,55900
178,1,0,16,3,64600
179,1,0,13,4,68600
180,1,7,8,3,65100
181,1,13,19,3,111700
182,1,12,1,3,62000
183,0,2,7,3,55800
184,0,5,11,2,54600
185,0,1,1,3,37600
186,1,0,7,3,41200
187,1,0,6,4,49900
188,0,4,6,3,59400
189,1,3,13,3,65500
190,1,10,3,4,73200
191,1,0,3,3,30500
192,1,6,17,3,84800
193,1,16,9,3,95200
194,1,11,11,3,84900
195,1,11,18,3,102600
196,1,11,1,3,59000
197,0,0,5,3,44800
198,0,11,2,3,70500
199,0,10,4,4,83700
200,1,10,18,3,100000
201,1,2,4,3,39300
202,1,0,7,2,20400
203,0,0,12,4,74300
204,0,11,19,3,114500
