Transaction,Purchase Date,Customer ID,Gender,Marital Status,Homeowner,Children,Annual Income,City,State or Province,Country,Product Family,Product Department,Product Category,Units Sold,Revenue
1,18/12/2011,7223,F,S,Y,2,30K - 50K,Los Angeles,CA,USA,Food,Snack Foods,Snack Foods,5,27.38
2,20/12/2011,7841,M,M,Y,5,70K - 90K,Los Angeles,CA,USA,Food,Produce,Vegetables,5,14.9
3,21/12/2011,8374,F,M,N,2,50K - 70K,Bremerton,WA,USA,Food,Snack Foods,Snack Foods,3,5.52
4,21/12/2011,9619,M,M,Y,3,30K - 50K,Portland,OR,USA,Food,Snacks,Candy,4,4.44
5,22/12/2011,1900,F,S,Y,3,130K - 150K,Beverly Hills,CA,USA,Drink,Beverages,Carbonated Beverages,4,14
6,22/12/2011,6696,F,M,Y,3,10K - 30K,Beverly Hills,CA,USA,Food,Deli,Side Dishes,3,4.37
7,23/12/2011,9673,M,S,Y,2,30K - 50K,Salem,OR,USA,Food,Frozen Foods,Breakfast Foods,4,13.78
8,25/12/2011,354,F,M,Y,2,150K +,Yakima,WA,USA,Food,Canned Foods,Canned Soup,6,7.34
9,25/12/2011,1293,M,M,Y,3,10K - 30K,Bellingham,WA,USA,Non-Consumable,Household,Cleaning Supplies,1,2.41
10,25/12/2011,7938,M,S,N,1,50K - 70K,San Diego,CA,USA,Non-Consumable,Health and Hygiene,Pain Relievers,2,8.96
11,26/12/2011,9357,F,M,N,0,30K - 50K,Beverly Hills,CA,USA,Food,Snack Foods,Snack Foods,3,11.82
12,26/12/2011,3097,M,M,Y,1,30K - 50K,Beverly Hills,CA,USA,Food,Baking Goods,Baking Goods,5,14.45
13,26/12/2011,2741,M,S,N,3,70K - 90K,Bellingham,WA,USA,Food,Canned Foods,Canned Tuna,4,19.18
14,26/12/2011,2032,F,M,N,3,10K - 30K,Yakima,WA,USA,Non-Consumable,Household,Plastic Products,4,19.5
15,27/12/2011,6651,M,S,N,0,30K - 50K,Portland,OR,USA,Food,Produce,Fruit,5,13.06
16,27/12/2011,5230,M,M,Y,3,30K - 50K,Salem,OR,USA,Non-Consumable,Health and Hygiene,Hygiene,5,12.42
17,27/12/2011,6161,F,S,N,1,10K - 30K,Tacoma,WA,USA,Food,Frozen Foods,Meat,5,17.65
18,28/12/2011,5717,F,S,N,0,30K - 50K,Los Angeles,CA,USA,Food,Snack Foods,Snack Foods,3,8.74
19,28/12/2011,354,F,M,Y,2,150K +,Yakima,WA,USA,Drink,Dairy,Dairy,5,7.75
20,28/12/2011,3458,F,S,N,5,10K - 30K,San Diego,CA,USA,Drink,Beverages,Drinks,5,6.66
21,29/12/2011,1906,M,M,Y,1,50K - 70K,Beverly Hills,CA,USA,Non-Consumable,Periodicals,Magazines,4,17.92
22,29/12/2011,20,F,S,Y,2,10K - 30K,San Diego,CA,USA,Food,Produce,Fruit,5,12.64
23,29/12/2011,9795,M,S,N,2,70K - 90K,Portland,OR,USA,Food,Snacks,Candy,5,14.48
24,29/12/2011,4543,F,M,Y,4,10K - 30K,Salem,OR,USA,Food,Deli,Meat,4,4.21
25,29/12/2011,3386,F,M,Y,4,30K - 50K,San Diego,CA,USA,Drink,Alcoholic Beverages,Beer and Wine,4,14.78
26,30/12/2011,5005,M,M,N,2,30K - 50K,San Francisco,CA,USA,Food,Produce,Fruit,2,4.49
27,30/12/2011,1918,F,M,N,0,30K - 50K,Beverly Hills,CA,USA,Food,Baking Goods,Baking Goods,5,13.41
28,30/12/2011,5801,M,S,N,2,50K - 70K,San Diego,CA,USA,Non-Consumable,Checkout,Hardware,5,3.42
29,30/12/2011,3196,M,S,N,2,50K - 70K,Salem,OR,USA,Food,Produce,Fruit,2,10.8
30,31/12/2011,9554,M,M,Y,3,70K - 90K,Salem,OR,USA,Food,Deli,Meat,4,8.64
31,31/12/2011,2670,F,S,Y,0,70K - 90K,San Diego,CA,USA,Non-Consumable,Health and Hygiene,Pain Relievers,5,21.62
32,31/12/2011,7902,M,M,Y,1,50K - 70K,San Diego,CA,USA,Non-Consumable,Household,Paper Products,6,8.74
33,31/12/2011,8466,M,M,Y,3,10K - 30K,Tacoma,WA,USA,Food,Seafood,Seafood,4,16.51
34,31/12/2011,1953,F,S,N,1,70K - 90K,Beverly Hills,CA,USA,Food,Produce,Vegetables,3,1.43
35,31/12/2011,7617,F,M,N,3,10K - 30K,Portland,OR,USA,Non-Consumable,Household,Electrical,4,10.94
36,01/01/2012,240,M,M,N,2,30K - 50K,Los Angeles,CA,USA,Food,Produce,Fruit,2,8.42
37,01/01/2012,6510,F,M,Y,0,50K - 70K,Salem,OR,USA,Food,Produce,Vegetables,5,7.23
38,01/01/2012,7570,M,M,Y,4,70K - 90K,Salem,OR,USA,Non-Consumable,Health and Hygiene,Bathroom Products,3,6.07
39,01/01/2012,4686,F,S,N,2,50K - 70K,Los Angeles,CA,USA,Non-Consumable,Household,Electrical,5,11.9
40,01/01/2012,6207,M,M,N,1,30K - 50K,Los Angeles,CA,USA,Drink,Dairy,Dairy,5,13.16
41,01/01/2012,1161,M,S,N,5,70K - 90K,Seattle,WA,USA,Food,Produce,Vegetables,5,14.05
42,02/01/2012,8746,F,S,N,3,30K - 50K,Yakima,WA,USA,Non-Consumable,Household,Kitchen Products,6,13.78
43,02/01/2012,9736,M,S,N,3,70K - 90K,Seattle,WA,USA,Food,Deli,Side Dishes,5,26.22
44,02/01/2012,1634,F,M,Y,1,10K - 30K,Bremerton,WA,USA,Food,Snack Foods,Snack Foods,4,8.58
45,02/01/2012,6253,F,M,Y,4,30K - 50K,Seattle,WA,USA,Food,Baked Goods,Bread,4,15.6
46,02/01/2012,4239,F,S,Y,4,50K - 70K,Tacoma,WA,USA,Non-Consumable,Health and Hygiene,Hygiene,4,2.39
47,03/01/2012,6960,F,M,Y,3,150K +,Tacoma,WA,USA,Non-Consumable,Household,Kitchen Products,5,16.37
48,03/01/2012,9812,F,M,Y,2,50K - 70K,Salem,OR,USA,Food,Dairy,Dairy,5,24.38
49,04/01/2012,4279,F,M,Y,1,50K - 70K,Beverly Hills,CA,USA,Food,Baking Goods,Baking Goods,4,9.23
50,04/01/2012,1940,F,M,Y,1,90K - 110K,Salem,OR,USA,Non-Consumable,Health and Hygiene,Bathroom Products,3,10.85
51,04/01/2012,3799,F,S,Y,2,30K - 50K,Salem,OR,USA,Food,Baking Goods,Baking Goods,5,14.87
52,04/01/2012,566,M,S,N,5,10K - 30K,Walla Walla,WA,USA,Food,Produce,Vegetables,2,3.53
53,04/01/2012,5125,F,S,N,2,30K - 50K,Tacoma,WA,USA,Food,Deli,Meat,6,10.21
54,04/01/2012,10026,F,S,N,3,10K - 30K,Salem,OR,USA,Food,Frozen Foods,Vegetables,5,10.07
55,05/01/2012,2533,M,M,Y,1,50K - 70K,Beverly Hills,CA,USA,Food,Frozen Foods,Meat,5,14.52
56,05/01/2012,7733,M,S,Y,5,10K - 30K,Salem,OR,USA,Non-Consumable,Household,Hardware,4,40.83
57,05/01/2012,3533,F,M,Y,1,30K - 50K,Bremerton,WA,USA,Non-Consumable,Household,Plastic Products,4,2.94
58,05/01/2012,3490,F,M,Y,1,10K - 30K,Salem,OR,USA,Food,Dairy,Dairy,3,23.13
59,05/01/2012,9125,M,S,N,3,50K - 70K,Salem,OR,USA,Food,Produce,Specialty,3,17.95
60,05/01/2012,10070,F,M,Y,2,50K - 70K,Salem,OR,USA,Food,Dairy,Dairy,3,6.88
61,05/01/2012,3533,F,M,Y,1,30K - 50K,Bremerton,WA,USA,Food,Canned Foods,Vegetables,5,6.2
62,06/01/2012,1596,M,M,Y,2,70K - 90K,San Diego,CA,USA,Food,Baking Goods,Baking Goods,3,2.78
63,07/01/2012,8248,M,S,Y,3,10K - 30K,Beverly Hills,CA,USA,Food,Canned Foods,Canned Sardines,6,14.96
64,07/01/2012,3197,F,S,N,5,50K - 70K,Yakima,WA,USA,Food,Produce,Fruit,5,34.56
65,07/01/2012,2061,M,M,Y,3,10K - 30K,Bremerton,WA,USA,Food,Baked Goods,Bread,5,11.05
66,07/01/2012,5590,M,M,N,5,110K - 130K,Tacoma,WA,USA,Non-Consumable,Checkout,Miscellaneous,4,6.28
67,07/01/2012,760,F,S,Y,0,150K +,Bremerton,WA,USA,Food,Baking Goods,Baking Goods,5,4.79
68,08/01/2012,753,F,S,Y,1,90K - 110K,Bremerton,WA,USA,Non-Consumable,Health and Hygiene,Hygiene,3,7.28
69,08/01/2012,2327,F,M,Y,4,10K - 30K,Salem,OR,USA,Food,Snack Foods,Snack Foods,4,11.04
70,08/01/2012,7576,F,M,Y,1,50K - 70K,Salem,OR,USA,Food,Baked Goods,Bread,5,5.67
71,08/01/2012,864,F,S,Y,3,90K - 110K,San Diego,CA,USA,Food,Meat,Meat,5,16.39
72,08/01/2012,8593,M,M,Y,2,110K - 130K,Beverly Hills,CA,USA,Non-Consumable,Health and Hygiene,Hygiene,5,4.29
73,08/01/2012,711,F,M,Y,2,30K - 50K,Tacoma,WA,USA,Food,Canned Foods,Canned Sardines,4,23.58
74,08/01/2012,6460,M,M,N,2,10K - 30K,San Diego,CA,USA,Food,Canned Foods,Canned Soup,4,21.47
75,09/01/2012,1216,M,S,N,1,70K - 90K,Tacoma,WA,USA,Food,Produce,Fruit,3,5.35
76,09/01/2012,2997,M,M,N,4,10K - 30K,Seattle,WA,USA,Non-Consumable,Household,Cleaning Supplies,6,17.57
77,09/01/2012,4925,F,S,Y,0,50K - 70K,Spokane,WA,USA,Food,Frozen Foods,Pizza,6,35.26
78,09/01/2012,2198,F,S,Y,3,50K - 70K,Salem,OR,USA,Non-Consumable,Household,Cleaning Supplies,3,17.28
79,09/01/2012,6021,F,S,Y,4,50K - 70K,Salem,OR,USA,Non-Consumable,Health and Hygiene,Decongestants,5,8.35
80,09/01/2012,2390,F,M,Y,3,30K - 50K,Tacoma,WA,USA,Food,Deli,Meat,3,11.04
81,10/01/2012,240,M,M,N,2,30K - 50K,Los Angeles,CA,USA,Food,Produce,Vegetables,4,17.52
82,10/01/2012,7354,F,M,Y,3,10K - 30K,Bremerton,WA,USA,Food,Snack Foods,Snack Foods,6,16.05
83,10/01/2012,4396,F,M,Y,3,130K - 150K,Salem,OR,USA,Non-Consumable,Household,Hardware,5,25.27
84,10/01/2012,7823,F,M,Y,5,10K - 30K,Los Angeles,CA,USA,Food,Dairy,Dairy,4,36.5
85,10/01/2012,76,F,S,N,1,70K - 90K,Bremerton,WA,USA,Non-Consumable,Household,Electrical,5,17.7
86,10/01/2012,3849,M,M,Y,4,30K - 50K,Seattle,WA,USA,Food,Snacks,Candy,6,24.9
87,11/01/2012,7493,F,M,Y,3,110K - 130K,San Diego,CA,USA,Food,Starchy Foods,Starchy Foods,4,36.48
88,11/01/2012,1193,F,S,Y,0,90K - 110K,Salem,OR,USA,Food,Canned Foods,Canned Tuna,5,6.53
89,11/01/2012,1429,F,S,N,4,30K - 50K,Salem,OR,USA,Food,Snack Foods,Snack Foods,6,14.06
90,12/01/2012,4544,F,M,Y,4,70K - 90K,Los Angeles,CA,USA,Food,Dairy,Dairy,5,12.78
91,12/01/2012,1275,M,S,N,4,10K - 30K,San Diego,CA,USA,Non-Consumable,Health and Hygiene,Hygiene,4,1.56
92,12/01/2012,1681,F,M,Y,5,70K - 90K,Salem,OR,USA,Food,Snack Foods,Snack Foods,5,29.63
93,12/01/2012,4315,M,S,N,2,30K - 50K,Tacoma,WA,USA,Food,Snack Foods,Snack Foods,4,11.32
94,12/01/2012,9175,F,S,Y,2,90K - 110K,San Diego,CA,USA,Food,Snack Foods,Snack Foods,5,1.8
95,12/01/2012,8054,F,M,Y,0,10K - 30K,Seattle,WA,USA,Food,Deli,Side Dishes,3,5.04
96,12/01/2012,7702,M,S,N,2,30K - 50K,Spokane,WA,USA,Food,Breakfast Foods,Breakfast Foods,4,3.61
97,12/01/2012,769,F,S,N,4,30K - 50K,Spokane,WA,USA,Food,Dairy,Dairy,4,12.58
98,13/01/2012,20,F,S,Y,2,10K - 30K,San Diego,CA,USA,Non-Consumable,Household,Cleaning Supplies,3,19.49
99,13/01/2012,6348,M,M,Y,2,10K - 30K,Spokane,WA,USA,Food,Frozen Foods,Pizza,6,4.61
100,13/01/2012,7622,F,S,N,1,50K - 70K,Bremerton,WA,USA,Non-Consumable,Checkout,Miscellaneous,6,11.04
101,13/01/2012,4021,M,M,N,3,30K - 50K,Spokane,WA,USA,Non-Consumable,Health and Hygiene,Bathroom Products,5,4.68
102,13/01/2012,2086,M,M,N,1,10K - 30K,Salem,OR,USA,Non-Consumable,Household,Paper Products,3,25.52
103,13/01/2012,8862,M,S,N,1,30K - 50K,Portland,OR,USA,Food,Snack Foods,Snack Foods,4,6.8
104,13/01/2012,1429,F,S,N,4,30K - 50K,Salem,OR,USA,Food,Snack Foods,Snack Foods,2,12.7
105,13/01/2012,8289,M,S,Y,4,10K - 30K,Tacoma,WA,USA,Food,Baking Goods,Jams and Jellies,3,8.09
106,14/01/2012,4544,F,M,Y,4,70K - 90K,Los Angeles,CA,USA,Food,Deli,Meat,3,7.06
